Area,Direction,Normal_Z,Result,Azimuth,Elevation
1,90,0.99,UpDirection,-92.09,81.91
2,90,0.8997,UpDirection,43.58,64.12
3,270,-0.0529,DownDirection,19.14,-3.03
4,90,0.8751,UpDirection,28.07,61.05
5,90,0.1101,UpDirection,-23.1,6.32
6,270,0.143,UpDirection,-27.89,8.22
7,90,0.7395,UpDirection,72.8,47.69
8,270,-0.12,DownDirection,18.53,-6.89
9,90,0.9312,UpDirection,-8.76,68.62
10,90,0.893,UpDirection,-31.22,63.25
11,90,0.937,UpDirection,148.49,69.56
12,90,-0.0706,DownDirection,29.77,-4.05
13,90,-0.5384,DownDirection,-91.55,-32.57
14,90,0.8508,UpDirection,114.92,58.3
15,90,-0.0658,DownDirection,1.38,-3.77
16,270,0.3044,UpDirection,31.39,17.72
17,90,0.8114,UpDirection,68.24,54.23
18,90,0.7281,UpDirection,21.05,46.73
19,90,0.3499,UpDirection,-24.18,20.48
20,90,-0.2508,DownDirection,-25.04,-14.52
21,90,0.8933,UpDirection,-31.2,63.29
22,270,-0.1782,DownDirection,1.91,-10.26
23,90,0.8063,UpDirection,177.65,53.74
24,90,0.6439,UpDirection,12.57,40.08
25,90,-0.1267,DownDirection,131.58,-7.28
26,90,0.8516,UpDirection,114.77,58.38
27,90,0.7543,UpDirection,-169.76,48.97
28,90,0.6363,UpDirection,68.36,39.52
29,90,0.6182,UpDirection,-14.26,38.18
30,90,0.343,UpDirection,87.18,20.06
31,270,-0.5585,DownDirection,38.85,-33.95
32,90,0.5636,UpDirection,119.93,34.31
33,90,0.7242,UpDirection,123.77,46.41
34,90,0.7046,UpDirection,-23.55,44.8
35,270,0.4389,UpDirection,82.61,26.03
36,270,0.2965,UpDirection,49.06,17.25
37,90,0.724,UpDirection,-168.13,46.38
38,270,-0.5869,DownDirection,-11.07,-35.94
39,90,-0.2129,DownDirection,0.06,-12.29
40,90,0.441,UpDirection,15.24,26.17
41,270,0.3333,UpDirection,-34.04,19.47
42,90,0.1034,UpDirection,-40.81,5.93
43,270,-0.1041,DownDirection,35.23,-5.97
44,90,0.3258,UpDirection,135.77,19.02
45,270,0.4902,UpDirection,90.79,29.35
46,90,0.8554,UpDirection,115.78,58.81
47,90,0.1381,UpDirection,132.6,7.94
48,90,-0.3635,DownDirection,-11.2,-21.31
49,270,-0.4159,DownDirection,53.36,-24.57
50,90,0.6748,UpDirection,63.91,42.44
51,90,0.3469,UpDirection,88.37,20.3
52,270,0.2556,UpDirection,-4.65,14.81
53,270,0.2132,UpDirection,57.88,12.31
54,90,-0.3269,DownDirection,32.92,-19.08
55,90,-0.026,DownDirection,28.87,-1.49
56,90,0.9702,UpDirection,152.49,75.97
57,270,0.5255,UpDirection,64.38,31.7
58,90,0.005,UpDirection,29.53,0.29
59,90,0.9833,UpDirection,-126.73,79.5
60,270,0.3771,UpDirection,2.55,22.15
