Area	m2	bui
1	3.51E-04	Crown
2	6.84E-04	Crown
3	1.20E-03	L.Hand
4	8.99E-04	Crown
5	2.61E-04	LeftArmsJoint
6	8.65E-04	R.Hand
7	5.78E-04	R.front_thigh
8	7.97E-04	L.Hand
9	2.73E-04	Crown
10	4.17E-04	Crown
11	2.44E-03	R.front_thigh
12	1.18E-03	L.Hand
13	8.35E-05	L.Hand
14	5.17E-04	Crown
15	2.36E-04	R.Hand
16	8.63E-04	Head
17	5.45E-04	Crown
18	8.02E-04	Crown
19	3.40E-04	RightArmsJoint
20	1.03E-03	R.Back_thigh
21	4.60E-04	Crown
22	1.98E-03	L.Upper_arm
23	4.39E-04	Crown
24	9.83E-04	Crown
25	3.19E-04	RightLegsJoint
26	1.09E-03	Crown
27	5.46E-04	Crown
28	4.78E-04	Crown
29	1.03E-03	Crown
30	4.17E-04	R.Upper_arm
31	2.36E-04	L.foreleg
32	4.18E-04	L.Hand
33	2.13E-04	L.foot
34	7.54E-04	Crown
35	8.24E-04	L.Upper_arm
36	1.09E-03	L.Side_back
37	8.61E-04	Crown
38	2.24E-03	R.front_thigh
39	1.56E-03	R.Back_thigh
40	3.25E-04	L.Hand
41	1.45E-04	RightArmsJoint
42	1.26E-04	LeftArmsJoint
43	3.09E-04	L.front_thigh
44	1.36E-03	L.Upper_arm
45	6.01E-04	L.foreleg
46	6.79E-04	L.Upper_arm
47	1.52E-03	L.Side_chest
48	2.11E-04	LeftArmsJoint
49	5.13E-04	L.Side_back
50	1.95E-03	R.Fore_arm
51	4.88E-04	L.Upper_arm
52	1.47E-03	L.Back_thigh
53	8.70E-04	Head
54	1.91E-04	LeftLegsJoint
55	4.53E-04	L.Hand
56	5.19E-04	L.Upper_arm
57	6.74E-04	RightLegsJoint
58	2.61E-04	RightArmsJoint
59	8.30E-04	Crown
60	1.47E-03	Head
61	1.85E-04	R.Hand
62	1.94E-03	R.front_thigh
63	3.13E-04	RightArmsJoint
64	1.72E-03	Head
65	4.58E-03	L.front_thigh
66	4.24E-03	L.Side_chest
67	6.00E-04	LeftLegsJoint
68	3.65E-04	R.Upper_arm
69	7.05E-04	Head
70	3.81E-04	LeftLegsJoint
71	1.90E-03	L.Side_chest
72	2.08E-03	L.Back_thigh
73	9.53E-04	L.Back_thigh
74	1.10E-04	L.Fore_arm
75	7.46E-04	L.Hand
76	2.31E-03	R.Upper_arm
77	7.38E-04	R.Fore_arm
78	5.21E-04	R.Upper_arm
79	2.99E-04	RightArmsJoint
80	3.08E-03	R.Side_back
81	2.54E-04	LeftArmsJoint
82	2.62E-04	LeftLegsJoint
83	1.25E-03	L.Side_back
84	1.02E-03	L.Side_back
85	2.74E-04	R.Fore_arm
86	4.84E-04	L.foot
87	2.17E-04	RightArmsJoint
88	4.59E-04	LeftLegsJoint
89	3.64E-04	L.foot
90	4.01E-04	RightLegsJoint
91	2.31E-04	R.Fore_arm
92	3.38E-04	RightLegsJoint
93	4.09E-04	Head
94	2.00E-04	R.Hand
95	3.33E-04	R.Hand
96	4.83E-03	L.front_thigh
97	1.29E-03	R.Upper_arm
98	6.99E-04	L.Hand
99	1.70E-03	Back_side
100	1.35E-04	Crown
101	3.52E-04	LeftLegsJoint
102	1.25E-03	Crown
103	2.45E-04	LeftLegsJoint
104	4.02E-04	Head
105	5.59E-04	R.Upper_arm
106	2.34E-04	RightArmsJoint
107	2.43E-04	R.Fore_arm
108	3.20E-04	RightArmsJoint
109	7.01E-04	L.Upper_arm
110	2.11E-03	R.Upper_arm
111	5.59E-04	R.Upper_arm
112	2.73E-03	R.Side_chest
113	1.07E-03	R.Side_back
114	1.26E-03	Pelvis
115	9.89E-04	Head
116	3.10E-04	Head
117	1.42E-03	L.Side_chest
118	1.18E-03	L.foreleg
119	1.33E-04	R.Hand
120	2.45E-04	RightArmsJoint
121	3.03E-04	R.Fore_arm
122	9.06E-04	L.Back_thigh
123	1.27E-04	LeftArmsJoint
124	9.86E-04	Head
125	5.48E-04	Crown
126	2.76E-04	LeftLegsJoint
127	2.93E-04	R.Fore_arm
128	3.03E-04	R.Fore_arm
129	3.87E-04	LeftLegsJoint
130	2.61E-03	R.front_thigh
131	8.75E-05	L.Hand
132	8.47E-04	R.Hand
133	1.21E-03	R.Side_chest
134	3.42E-03	R.front_thigh
135	2.56E-04	R.Fore_arm
136	7.47E-04	R.Side_back
137	1.63E-03	Head
138	3.06E-04	LeftArmsJoint
139	6.50E-04	L.Upper_arm
140	1.28E-04	R.Fore_arm
141	9.53E-04	Head
142	9.61E-04	R.Upper_arm
143	3.89E-04	LeftLegsJoint
144	6.41E-04	Crown
145	2.75E-04	RightLegsJoint
146	1.60E-03	L.Upper_arm
147	1.32E-03	L.Side_chest
148	1.50E-03	R.Hand
149	1.20E-04	R.Hand
150	7.02E-04	L.Upper_arm
151	5.81E-04	R.Upper_arm
152	4.08E-03	Back_side
153	1.42E-03	Head
154	8.18E-04	R.front_thigh
155	9.69E-04	Back_side
156	3.36E-03	R.front_thigh
157	2.03E-04	R.Fore_arm
158	9.94E-04	R.Hand
159	1.13E-03	Head
160	3.32E-04	R.Upper_arm
161	4.34E-03	R.front_thigh
162	3.06E-04	RightLegsJoint
163	5.26E-04	R.Upper_arm
164	2.48E-03	L.Side_chest
165	8.68E-04	L.Hand
166	3.10E-04	L.foreleg
167	1.74E-03	R.Fore_arm
168	7.97E-04	L.Back_thigh
169	3.57E-04	Head
170	3.31E-04	LeftArmsJoint
171	2.33E-04	RightLegsJoint
172	1.14E-03	R.Side_back
173	6.77E-04	R.front_thigh
174	4.05E-04	L.Hand
175	7.70E-04	L.Hand
176	2.82E-04	R.Hand
177	5.57E-04	R.Upper_arm
178	3.47E-03	R.Side_chest
179	9.41E-04	R.front_thigh
180	3.14E-03	R.front_thigh
181	1.51E-03	L.Hand
182	2.00E-03	L.Side_back
183	1.96E-03	R.Back_thigh
184	1.29E-03	Back_side
185	4.45E-04	L.foot
186	6.64E-04	R.front_thigh
187	1.16E-03	Head
188	3.88E-04	L.Upper_arm
189	3.92E-04	LeftArmsJoint
190	3.62E-04	Head
191	5.86E-04	L.Back_thigh
192	1.44E-04	RightLegsJoint
193	8.42E-04	R.front_thigh
194	1.44E-03	R.front_thigh
195	2.88E-04	RightLegsJoint
196	5.55E-04	RightLegsJoint
197	2.91E-04	L.Hand
198	2.49E-04	LeftArmsJoint
199	7.65E-04	R.Back_thigh
200	5.94E-04	R.Side_chest
201	2.27E-04	Crown
202	9.07E-04	Head
203	4.44E-04	L.Hand
204	3.60E-04	R.Back_thigh
205	7.61E-04	L.Side_chest
206	5.46E-04	R.Side_back
207	2.11E-04	RightArmsJoint
208	7.36E-04	R.Hand
209	1.44E-04	RightArmsJoint
210	4.44E-04	RightLegsJoint
211	2.83E-04	L.Hand
212	1.28E-03	R.front_thigh
213	1.05E-03	L.Upper_arm
214	4.41E-04	RightLegsJoint
215	1.36E-03	R.Side_chest
216	6.67E-05	R.Hand
217	4.82E-04	L.Side_back
218	5.40E-04	L.foreleg
219	4.20E-04	Head
220	6.87E-04	Crown
221	5.54E-04	Head
