Area	PointA	PointB	PointC
1	21	1	5
2	3	2	1
3	8	9	10
4	4	3	1
5	93	331	12
6	13	14	15
7	16	17	18
8	10	19	8
9	4	1	21
10	20	4	21
11	22	23	17
12	25	26	27
13	677	28	29
14	5	2	30
15	31	32	33
16	35	36	37
17	3	30	2
18	4	39	3
19	40	41	42
20	43	44	45
21	48	4	20
22	49	50	51
23	5	52	53
24	54	39	4
25	57	58	55
26	30	34	5
27	53	52	59
28	30	3	60
29	54	4	61
30	63	64	65
31	66	67	68
32	70	27	71
33	72	73	74
34	4	48	61
35	878	76	879
36	79	867	869
37	82	59	52
38	47	46	62
39	83	84	85
40	86	6	25
41	87	88	89
42	92	93	11
43	95	96	97
44	99	705	98
45	489	739	100
46	102	103	104
47	105	106	107
48	93	92	593
49	108	109	110
50	111	112	113
51	116	117	103
52	118	119	120
53	36	35	121
54	122	123	124
55	27	127	128
56	129	102	104
57	201	738	361
58	134	135	136
59	75	21	53
60	658	138	139
61	140	15	14
62	142	143	144
63	41	135	42
64	278	147	370
65	150	151	152
66	107	153	105
67	154	155	156
68	522	157	452
69	159	160	161
70	154	156	162
71	163	164	165
72	119	118	166
73	168	169	170
74	171	172	173
75	8	19	174
76	175	176	177
77	567	178	179
78	180	181	182
79	183	184	40
80	141	185	186
81	187	188	189
82	162	190	154
83	421	192	191
84	194	319	195
85	136	113	196
86	73	72	197
87	134	42	135
88	126	429	125
89	198	73	197
90	199	200	131
91	112	196	113
92	201	58	202
93	138	160	203
94	33	207	208
95	209	210	211
96	212	152	213
97	214	215	216
98	217	128	127
99	218	219	220
100	48	20	372
101	124	221	122
102	222	60	3
103	223	224	125
104	203	160	159
105	63	226	227
106	135	228	136
107	229	113	136
108	184	41	40
109	230	110	109
110	214	231	232
111	233	182	234
112	164	235	165
113	236	233	234
114	238	239	240
115	242	243	244
116	139	138	245
117	246	153	247
118	249	250	251
119	31	33	208
120	252	89	88
121	228	229	136
122	253	132	254
123	255	256	189
124	243	242	257
125	30	60	34
126	258	224	223
127	259	252	196
128	196	112	259
129	155	260	156
130	261	18	144
131	262	28	677
132	211	263	209
133	238	264	265
134	62	267	47
135	268	269	111
136	185	236	186
137	277	278	279
138	281	189	188
139	282	109	129
140	283	229	228
141	147	284	370
142	285	232	231
143	123	286	287
144	3	39	222
145	290	291	292
146	293	876	270
147	105	294	106
148	13	207	14
149	140	14	295
150	129	104	282
151	65	296	297
152	298	299	300
153	279	257	277
154	301	302	303
155	304	305	306
156	261	307	308
157	252	309	89
158	591	386	115
159	121	35	284
160	227	312	63
161	144	307	261
162	130	317	318
163	63	65	226
164	153	107	319
165	321	322	127
166	68	67	324
167	431	641	567
168	325	97	326
169	327	244	328
170	329	330	331
171	57	202	58
172	158	157	334
173	336	337	338
174	127	339	217
175	25	6	26
176	209	310	311
177	180	137	181
178	340	341	342
179	23	343	344
180	345	84	346
181	148	413	9
182	193	640	347
183	308	84	83
184	219	348	220
185	349	350	351
186	43	45	352
187	244	243	328
188	323	879	877
189	92	11	355
190	356	327	328
191	357	358	359
192	292	291	360
193	62	22	361
194	267	275	47
195	318	131	130
196	199	225	200
197	362	339	363
198	255	189	281
199	367	368	369
200	241	859	858
201	48	372	61
202	373	139	245
203	374	321	26
204	275	369	274
205	698	416	333
206	859	241	857
207	377	135	41
208	207	13	378
209	41	184	379
210	380	381	225
211	427	148	376
212	303	45	346
213	98	384	272
214	131	318	199
215	63	312	206
216	316	315	386
217	194	387	266
218	388	389	390
219	91	90	696
220	59	75	53
221	707	90	159
222	377	228	135
223	378	393	207
224	394	395	396
225	397	388	390
226	398	399	245
227	84	307	346
228	269	268	179
229	400	52	34
230	402	403	404
231	405	63	340
232	230	406	110
233	139	373	407
234	329	408	330
235	11	409	355
236	410	304	306
237	103	117	272
238	279	278	370
239	12	644	11
240	388	411	412
241	236	334	233
242	326	96	414
243	247	416	117
244	417	418	419
245	420	421	422
246	529	123	122
247	276	424	425
248	384	104	103
249	380	291	381
250	137	425	181
251	243	257	428
252	320	137	391
253	34	52	5
254	159	161	707
255	613	333	416
256	151	430	152
257	431	229	283
258	71	27	432
259	346	45	345
260	433	281	188
261	92	355	434
262	266	387	80
263	435	260	155
264	128	432	27
265	424	297	296
266	436	309	252
267	437	265	314
268	31	438	439
269	111	378	440
270	696	90	707
271	110	421	420
272	230	109	282
273	443	107	106
274	8	376	148
275	444	445	347
276	24	252	259
277	433	188	330
278	398	447	399
279	110	406	421
280	190	429	126
281	305	304	449
282	148	9	8
283	377	41	379
284	356	328	447
285	71	432	10
286	857	452	158
287	24	436	252
288	454	441	442
289	455	423	456
290	320	276	137
291	75	59	673
292	693	91	696
293	426	232	177
294	320	232	426
295	455	286	123
296	337	343	47
297	447	457	356
298	458	408	329
299	295	14	513
300	328	243	428
301	191	864	141
302	457	447	398
303	399	373	245
304	444	404	445
305	394	396	417
306	255	281	459
307	460	461	85
308	462	440	463
309	464	465	376
310	37	407	35
311	175	466	176
312	353	467	468
313	436	469	309
314	470	117	416
315	471	182	233
316	406	354	76
317	24	440	462
318	189	94	99
319	35	407	472
320	473	474	151
321	475	476	477
322	465	427	376
323	37	139	407
324	317	809	318
325	478	119	114
326	324	67	479
327	268	111	113
328	514	481	288
329	417	482	483
