Point	x	y	z
1	1.323043	0.993656	1.382146
2	1.310798	1.026116	1.375594
3	1.345399	1.034844	1.360515
4	1.355664	0.98334	1.36891
5	1.28017	0.999181	1.382709
6	1.085734	1.22426	0.643278
7	1.090397	1.176578	0.668138
8	1.042215	1.257268	0.570042
9	1.029595	1.298218	0.598418
10	1.019276	1.321652	0.559404
11	1.086014	1.057657	0.805673
12	1.096862	1.073241	0.807581
13	1.545487	1.27304	0.587661
14	1.559573	1.281988	0.530478
15	1.546105	1.25587	0.528295
16	1.414067	1.452031	0.550837
17	1.392885	1.426295	0.578916
18	1.423327	1.422938	0.573641
19	1.02451	1.298628	0.539916
20	1.326946	0.951486	1.372965
21	1.326551	0.976972	1.379794
22	1.371272	1.425906	0.572124
23	1.353514	1.213768	0.607809
24	1.470161	1.112452	0.725335
25	1.07814	1.280958	0.627868
26	1.091467	1.255151	0.610275
27	1.042595	1.337315	0.587271
28	1.061624	1.260563	0.522065
29	1.066075	1.248412	0.54089
30	1.305776	1.050419	1.360674
31	1.606665	1.305217	0.578361
32	1.60541	1.285538	0.55214
33	1.605239	1.30762	0.557632
34	1.261686	1.034804	1.358029
35	1.259586	0.927008	1.215125
36	1.236233	0.924569	1.281491
37	1.247606	0.948263	1.212486
38	1.292383	0.924309	0.776799
39	1.368959	1.030397	1.341319
40	1.522258	1.046193	0.788565
41	1.530963	1.043874	0.764761
42	1.535539	1.069956	0.782185
43	1.425686	0.987806	0.513746
44	1.453739	1.043517	0.520824
45	1.44191	1.001581	0.54798
46	1.352915	1.359781	0.575678
47	1.330262	1.214662	0.583458
48	1.343575	0.941297	1.363154
49	1.06472	0.950444	1.051057
50	1.066239	0.97894	1.064687
51	1.042595	1.000537	0.938178
52	1.239203	1.001803	1.352604
53	1.267793	0.982703	1.374134
54	1.383552	0.986872	1.33565
55	1.376119	1.535344	0.520112
56	1.398723	1.540389	0.52501
57	1.368649	1.524303	0.494255
58	1.354281	1.51389	0.507921
59	1.263653	0.956672	1.366559
60	1.304334	1.066352	1.343363
61	1.368311	0.939487	1.339588
62	1.344673	1.422879	0.5478
63	1.453776	1.027254	1.047755
64	1.454956	1.01767	1.073809
65	1.484179	1.022644	1.056266
66	1.145404	1.501641	0.478292
67	1.136888	1.48024	0.448504
68	1.151398	1.485724	0.470395
69	1.405851	1.472919	0.47553
70	1.035196	1.310724	0.615632
71	1.02346	1.332257	0.579702
72	1.123918	1.852403	0.174519
73	1.092585	1.831795	0.174247
74	1.121119	1.840738	0.18227
75	1.312915	0.950532	1.374356
76	1.10404	0.937016	0.992147
77	1.052578	1.028106	0.823754
78	1.071338	1.026898	0.818281
79	1.155425	0.908235	0.950226
80	1.174248	0.96933	0.761873
81	1.18911	0.949723	0.77289
82	1.234939	0.95866	1.340174
83	1.466457	1.292133	0.516354
84	1.47128	1.214193	0.538083
85	1.463352	1.20463	0.501655
86	1.078693	1.239095	0.64917
87	1.462271	1.082984	0.764449
88	1.470874	1.096914	0.766343
89	1.46598	1.07775	0.747465
90	1.298994	1.066304	1.163963
91	1.315003	1.06423	1.164563
92	1.093207	1.061342	0.776461
93	1.097081	1.066934	0.783418
94	1.030348	1.049487	0.842854
95	1.135913	0.975844	0.547486
96	1.127614	0.995227	0.589554
97	1.129748	0.98249	0.536001
98	1.057982	1.048481	0.971649
99	1.052564	1.101103	0.853888
100	1.157383	1.515278	0.305001
101	1.145097	1.567681	0.220566
102	1.134908	0.983629	1.108793
103	1.111614	1.012484	1.086929
104	1.0976	0.980007	1.100943
105	1.201881	1.099723	0.783003
106	1.183454	1.098557	0.699703
107	1.174191	1.075224	0.777929
108	1.154041	0.906163	1.089472
109	1.131869	0.930195	1.1027
110	1.142788	0.899135	1.062452
111	1.544475	1.2338	0.642578
112	1.508034	1.129122	0.762922
113	1.530341	1.120971	0.760198
114	1.099312	1.050647	0.540586
115	1.561878	1.242912	0.517713
116	1.139072	1.010019	1.091476
117	1.136477	1.022579	1.057735
118	1.111814	1.291726	0.495909
119	1.09657	1.194102	0.523436
120	1.102518	1.281609	0.527852
121	1.276649	0.91291	1.228272
122	1.217098	1.516365	0.481762
123	1.210107	1.527904	0.482928
124	1.228355	1.515609	0.507889
125	1.135182	1.470608	0.518369
126	1.148793	1.479868	0.548444
127	1.059532	1.304249	0.543672
128	1.042302	1.336496	0.562214
129	1.13506	0.956632	1.111942
130	1.447531	1.476885	0.500476
131	1.450039	1.489946	0.513106
132	1.119392	1.029357	0.502621
133	1.196024	1.630503	0.205022
134	1.529586	1.090964	0.78131
135	1.538474	1.075463	0.7626
136	1.525322	1.098695	0.761303
137	1.527313	0.941463	1.036607
138	1.253486	1.01586	1.178752
139	1.247055	0.977102	1.198763
140	1.552225	1.262531	0.516575
141	1.315169	0.867036	1.016896
142	1.420883	1.053903	0.619866
143	1.439785	1.044231	0.602656
144	1.436888	1.197043	0.603277
145	1.175858	1.069269	0.639288
146	1.205186	1.120122	0.638731
147	1.30734	0.907031	1.228854
148	1.042047	1.214593	0.61095
149	1.355588	0.927236	0.778271
150	1.222357	1.195241	0.609395
151	1.247536	1.205346	0.576859
152	1.226402	1.426874	0.555411
153	1.165981	1.064576	1.005306
154	1.177946	1.487286	0.562472
155	1.205064	1.470193	0.553228
156	1.19921	1.515618	0.554551
157	1.456983	0.936674	0.988579
158	1.437238	0.937329	0.915294
159	1.277216	1.071951	1.170157
160	1.251859	1.063228	1.190911
161	1.277731	1.088606	1.214377
162	1.173619	1.516416	0.556117
163	1.267185	1.124033	0.706624
164	1.295316	1.123601	0.801719
165	1.306071	1.123694	0.702931
166	1.115461	1.204528	0.48155
167	1.196107	1.631647	0.234011
168	1.238791	1.427306	0.511614
169	1.23463	1.372036	0.48234
170	1.226125	1.418068	0.474602
171	1.038402	1.094533	0.740471
172	1.065966	1.086378	0.743028
173	1.052578	1.087745	0.749081
174	1.038846	1.273988	0.525983
175	1.518843	1.090655	0.820841
176	1.485855	1.091872	0.824884
177	1.514547	1.051011	0.955168
178	1.558309	1.194698	0.613752
179	1.567076	1.204752	0.629309
180	1.512618	0.923423	1.025604
181	1.495123	0.917687	1.064877
182	1.488119	0.909949	1.028972
183	1.499503	1.034001	0.783213
184	1.509208	1.030679	0.76278
185	1.397699	0.879327	0.965097
